sent_1, 0, 6, 6, 0, 0, 0, 1, 2
sent_2, 1, 6, 16, 5, 3, 2, 5, 3
sent_3, 2, 10, 22, 2, 4, 1, 7, 4
sent_4, 0, 1, 2, 1, 0, 1, 1, 0
sent_5, 3, 2, 7, 2, 1, 1, 4, 0
sent_6, 0, 0, 5, 2, 1, 1, 2, 0
sent_7, 0, 11, 18, 3, 0, 2, 6, 3
sent_8, 2, 1, 5, 2, 1, 0, 3, 0
sent_9, 2, 1, 2, 1, 0, 0, 1, 0
sent_10, 0, 6, 13, 8, 3, 0, 4, 0
sent_11, 0, 5, 10, 4, 1, 0, 3, 0
sent_12, 1, 2, 6, 1, 2, 0, 5, 0
sent_13, 0, 0, 4, 2, 0, 1, 0, 0
sent_14, 1, 3, 8, 4, 0, 0, 2, 0
sent_15, 2, 2, 7, 1, 1, 0, 2, 0
sent_16, 2, 4, 11, 5, 2, 2, 7, 0
sent_17, 3, 1, 6, 3, 0, 3, 4, 0
