sent_1, 1, 39, 1, 26, 27, 0, 4, 4, 3, 4, 3, 0
sent_2, 2, 39, 2, 26, 28, 0, 2, 2, 0, 1, 2, 0
sent_3, 3, 39, 3, 26, 21, 0, 2, 1, 1, 0, 3, 0
sent_4, 4, 39, 3, 26, 39, 0, 2, 2, 0, 1, 5, 0
sent_5, 5, 39, 4, 26, 34, 0, 3, 3, 1, 0, 4, 0
sent_6, 6, 39, 5, 26, 25, 0, 2, 1, 1, 0, 1, 0
sent_7, 7, 39, 5, 26, 22, 0, 1, 1, 0, 1, 1, 0
sent_8, 8, 39, 6, 26, 27, 0, 2, 1, 1, 1, 2, 0
sent_9, 9, 39, 7, 26, 37, 0, 3, 3, 0, 3, 4, 0
sent_10, 10, 39, 7, 26, 28, 1, 2, 1, 0, 0, 3, 0
sent_11, 11, 39, 8, 26, 18, 0, 2, 1, 0, 0, 1, 0
sent_12, 12, 39, 9, 26, 39, 0, 1, 1, 0, 0, 6, 0
sent_13, 13, 39, 9, 26, 16, 0, 0, 0, 0, 0, 2, 0
sent_14, 14, 39, 10, 26, 42, 0, 1, 1, 0, 0, 5, 0
sent_15, 15, 39, 11, 26, 19, 1, 1, 1, 0, 0, 2, 0
sent_16, 16, 39, 12, 26, 4, 0, 0, 0, 0, 0, 0, 0
sent_17, 17, 39, 12, 26, 18, 1, 1, 1, 0, 0, 1, 0
sent_18, 18, 39, 13, 26, 29, 1, 1, 0, 0, 0, 2, 0
sent_19, 19, 39, 14, 26, 23, 0, 2, 0, 0, 0, 3, 0
sent_20, 20, 39, 14, 26, 14, 0, 2, 2, 1, 1, 1, 0
sent_21, 21, 39, 15, 26, 22, 0, 2, 1, 0, 1, 2, 0
sent_22, 22, 39, 15, 26, 30, 0, 2, 2, 1, 0, 5, 0
sent_23, 23, 39, 16, 26, 31, 0, 1, 1, 0, 2, 3, 0
sent_24, 24, 39, 16, 26, 18, 0, 1, 1, 0, 1, 3, 0
sent_25, 25, 39, 17, 26, 18, 0, 2, 2, 1, 1, 2, 0
sent_26, 26, 39, 18, 26, 4, 0, 1, 1, 0, 0, 0, 0
sent_27, 27, 39, 18, 26, 20, 1, 2, 2, 0, 0, 2, 0
sent_28, 28, 39, 19, 26, 26, 0, 5, 4, 0, 1, 1, 0
sent_29, 29, 39, 20, 26, 15, 1, 2, 2, 0, 0, 1, 0
sent_30, 30, 39, 20, 26, 52, 1, 4, 3, 0, 1, 2, 0
sent_31, 31, 39, 21, 26, 18, 0, 1, 1, 1, 0, 1, 0
sent_32, 32, 39, 22, 26, 19, 0, 2, 2, 0, 0, 1, 0
sent_33, 33, 39, 22, 26, 21, 0, 1, 1, 0, 0, 2, 0
sent_34, 34, 39, 23, 26, 12, 0, 1, 1, 0, 1, 2, 0
sent_35, 35, 39, 24, 26, 39, 1, 3, 2, 0, 0, 2, 0
sent_36, 36, 39, 25, 26, 28, 0, 5, 4, 1, 1, 3, 0
sent_37, 37, 39, 26, 26, 18, 1, 2, 2, 0, 1, 3, 0
sent_38, 38, 39, 26, 26, 24, 1, 1, 1, 0, 0, 2, 0
sent_39, 39, 39, 26, 26, 10, 1, 1, 1, 0, 2, 2, 0
