sent_1, 0, 1, 3, 0, 0, 2, 1, 0
sent_2, 0, 0, 3, 0, 0, 0, 0, 0
sent_3, 2, 7, 18, 5, 4, 4, 8, 1
sent_4, 0, 0, 5, 3, 2, 1, 1, 0
sent_5, 0, 1, 6, 4, 2, 1, 1, 1
sent_6, 2, 7, 11, 4, 2, 0, 3, 1
sent_7, 0, 3, 5, 0, 0, 1, 0, 0
sent_8, 2, 8, 14, 3, 2, 1, 4, 1
sent_9, 0, 2, 4, 4, 1, 0, 1, 0
sent_10, 0, 1, 4, 3, 2, 0, 0, 1
sent_11, 0, 6, 9, 0, 0, 0, 2, 1
sent_12, 2, 8, 14, 6, 2, 1, 7, 1
sent_13, 0, 5, 7, 3, 3, 2, 3, 1
sent_14, 0, 0, 7, 4, 2, 4, 4, 1
sent_15, 0, 2, 9, 3, 2, 1, 3, 1
sent_16, 0, 0, 7, 1, 2, 0, 3, 0
sent_17, 1, 1, 6, 4, 2, 1, 3, 0
sent_18, 0, 0, 7, 3, 1, 0, 4, 0
sent_19, 0, 6, 10, 4, 1, 1, 2, 0
sent_20, 2, 4, 14, 4, 1, 0, 6, 0
sent_21, 0, 5, 10, 2, 0, 1, 3, 1
sent_22, 0, 1, 3, 4, 0, 1, 1, 0
sent_23, 0, 2, 8, 2, 0, 0, 3, 1
sent_24, 0, 0, 3, 4, 1, 0, 1, 0
sent_25, 0, 2, 6, 5, 0, 1, 3, 0
sent_26, 1, 4, 9, 3, 1, 0, 3, 0
sent_27, 0, 6, 9, 8, 3, 2, 4, 0
sent_28, 0, 1, 4, 1, 2, 0, 1, 0
sent_29, 0, 2, 4, 7, 2, 1, 3, 0
sent_30, 0, 2, 6, 3, 2, 3, 3, 0
sent_31, 0, 2, 4, 3, 1, 0, 1, 0
sent_32, 0, 0, 2, 1, 4, 1, 1, 1
