sent_1, 1, 17, 1, 13, 17, 0, 2, 2, 3, 3, 2, 0
sent_2, 2, 17, 2, 13, 29, 0, 3, 3, 4, 6, 9, 1
sent_3, 3, 17, 3, 13, 29, 1, 4, 2, 4, 4, 9, 1
sent_4, 4, 17, 4, 13, 24, 1, 0, 0, 0, 0, 3, 1
sent_5, 5, 17, 5, 13, 13, 1, 2, 1, 1, 0, 3, 1
sent_6, 6, 17, 6, 13, 36, 0, 2, 2, 1, 0, 5, 1
sent_7, 7, 17, 6, 13, 4, 0, 1, 1, 0, 0, 1, 1
sent_8, 8, 17, 7, 13, 8, 1, 0, 0, 1, 0, 1, 0
sent_9, 9, 17, 8, 13, 27, 0, 0, 0, 2, 2, 3, 0
sent_10, 10, 17, 9, 13, 18, 0, 1, 0, 2, 1, 3, 1
sent_11, 11, 17, 10, 13, 17, 1, 1, 1, 1, 0, 2, 0
sent_12, 12, 17, 10, 13, 25, 1, 1, 1, 0, 0, 2, 0
sent_13, 13, 17, 10, 13, 14, 1, 0, 0, 3, 3, 4, 1
sent_14, 14, 17, 11, 13, 34, 1, 2, 2, 1, 0, 8, 1
sent_15, 15, 17, 12, 13, 12, 1, 1, 1, 1, 0, 7, 1
sent_16, 16, 17, 13, 13, 11, 0, 0, 0, 1, 2, 2, 0
sent_17, 17, 17, 13, 13, 7, 1, 1, 1, 1, 0, 2, 0
