sent_1, 0, 2, 6, 3, 1, 1, 1, 0
sent_2, 0, 9, 16, 4, 1, 0, 3, 0
sent_3, 1, 5, 14, 5, 1, 0, 4, 0
sent_4, 0, 0, 6, 3, 3, 1, 4, 1
sent_5, 0, 3, 5, 2, 4, 0, 0, 1
sent_6, 1, 4, 9, 4, 5, 3, 4, 2
sent_7, 0, 1, 1, 1, 0, 0, 1, 0
sent_8, 0, 0, 2, 2, 0, 1, 0, 0
sent_9, 0, 1, 8, 4, 1, 5, 1, 3
sent_10, 0, 1, 5, 3, 0, 0, 4, 2
sent_11, 1, 1, 4, 4, 2, 0, 3, 0
sent_12, 0, 0, 6, 6, 1, 0, 5, 2
sent_13, 0, 0, 2, 5, 1, 1, 1, 0
sent_14, 0, 3, 14, 5, 0, 0, 3, 1
sent_15, 0, 1, 3, 4, 2, 0, 0, 1
sent_16, 0, 1, 4, 1, 2, 0, 1, 0
sent_17, 0, 1, 1, 2, 1, 1, 1, 0
